cpu-cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss
1370409335,2547736558,14178,22762547,121539673,159041,65419,3276691,43696,1894,635236,364,33534,82718,5528788
1371411940,2524533817,38843,22640961,123099227,151495,58187,3170813,36720,1709,612009,437,33885,85599,5753718
1370384739,2468322575,45053,23135327,123501006,156341,67865,3167303,55099,1689,549450,271,33187,81374,5646707
1369138599,2576168750,21461,22504337,122645998,148689,58088,3285491,36133,1606,589113,578,34914,84440,5478409
1371304121,2480119468,43536,22920075,123454342,149858,65005,3171556,41060,1730,626462,268,32835,85291,5742208
1362408732,2440297757,33477,23062343,121476263,167329,74936,3274250,54718,1745,619093,494,33551,82050,5480036
1371696854,2544686832,16975,22753498,122063477,153971,64271,3222928,39559,1824,622899,431,32597,84336,5588413
1364388426,2506641540,40889,22634435,123180477,155108,58732,3147369,37959,1737,631014,410,33394,85361,5606602
1375557239,2501126517,39183,22972198,123775621,154837,68541,3192108,45872,1646,620255,310,31729,84544,5832155
1374565388,2521663484,25992,22955454,122879394,160665,71085,3285955,53539,1763,624723,403,35639,82959,5592883
1374573829,2548556082,21690,22720030,122842020,160108,64378,3218684,38571,1996,628827,253,33395,85166,5570637
1370273076,2497875261,44045,22816300,122537461,157394,57974,3176364,36492,2223,620076,410,33164,86008,5628601
1371593128,2466287928,36229,23116169,122792160,145836,69303,3250957,50487,4175,615682,385,34839,84686,5536201
1366343137,2530350777,17801,22976096,122565584,159988,67686,3313113,49389,4394,612703,452,33072,82541,5309486
1375624646,2466539951,78583,26843073,120133495,153948,61431,3151015,37545,3998,611738,482,31449,81021,4968759
1368713022,2472576725,29255,23182543,122916056,157333,72945,3301518,55586,4191,617426,401,32672,81336,5492983
1374410697,2557856590,19834,22845627,122911831,132670,64957,3297172,42115,4459,622374,403,32584,84070,5505155
1370144542,2489082096,42986,22794241,123327369,90856,57194,3151464,36410,4438,605322,473,32427,86603,5746185
1368836187,2478431422,38905,23122398,123266218,90372,70534,3256802,51435,4603,619394,470,33285,83343,5502924
1361418143,2508382386,19576,22894666,121338679,91484,69741,3305738,48723,4439,610083,377,35476,83207,5295789
1374332225,2545811745,32251,22794566,122991415,97841,61534,3199193,34515,4367,629642,316,34615,86058,5697122
1363954502,2455370611,42404,23079003,123290401,91800,69342,3254483,52847,4221,593202,443,32577,83768,5707877
1372214624,2537281609,22033,22932244,122555972,92333,69126,3328139,51516,4072,624770,304,32137,82660,5480554
1370217279,2532858720,28515,22832317,123078959,90421,58435,3234121,31565,4135,613422,518,34308,85884,5525063
1372318159,2480933470,43880,23002684,124466696,92180,63059,3198995,42394,4446,607146,422,30345,84873,5695002
1373174948,2552590018,23946,25508273,118839055,94634,87686,3065385,79594,4472,619391,425,32690,80594,5479290
1376284157,2552890987,33619,22797787,123929364,91486,61691,3178806,34250,4482,626671,434,31507,85956,5762190
1369776259,2471035334,41080,22912940,123227362,91888,61861,3208359,43557,4318,617097,352,37193,86329,5746956
1368087056,2510297916,24416,22764917,122731912,90705,74707,3295140,54700,4429,598009,449,32312,81465,5563097
1367633494,2543460197,25726,22572456,122842872,93364,60166,3234343,33351,3746,610420,406,33682,85681,5542002
1365423003,2418066641,48433,22962291,123373965,95607,59780,3112706,38900,7277,606919,800,31305,83723,5563185
1368440375,2493551398,26267,23085881,123929981,90528,65691,3298106,55942,7470,608265,1430,31227,81572,5474060
1368008453,2541550417,23032,22770840,123008673,89356,58704,3284439,39663,7578,621479,1395,34952,85365,5524962
1371240104,2499526179,40404,22938085,124233728,89158,52448,3153260,33037,7197,612244,1415,35253,86199,5573178
1373069877,2496901662,36675,22934670,124643542,89098,60254,3216548,50018,7076,607325,1328,33622,83435,5794957
1364524025,2523211651,21077,22798743,122741767,88687,62214,3291482,51497,7300,622800,1385,34140,82788,5282595
1371591498,2514551464,43526,22719651,124353634,93252,47323,3016816,40496,7230,523396,1459,34494,89277,5827612
1375904563,2503708116,29625,23084434,124467966,89686,65601,3279173,53216,7336,617514,1343,32911,82306,5574308
1366520946,2539377066,19160,22797743,122659564,89030,57712,3333172,43822,7264,605107,1403,33570,83883,5495796
1372408836,2499165485,41975,22821493,123908415,93110,52933,3215443,32698,7145,611057,1406,35989,85961,5862542
1369420359,2489995416,35000,22909057,123516404,90333,64784,3198005,53150,7526,615895,1493,36355,82657,5532878
1374299653,2553859987,24314,22817285,124127004,95371,61851,3253477,48533,7246,623905,1307,30657,84194,5578189
1376292804,2540548263,29263,22826287,124291596,88650,54388,3237846,37677,7248,620856,1367,31537,85364,5691312
1372975668,2509029265,42020,22841868,124763966,92515,56083,3151431,36510,7059,619352,1400,37959,86540,5709479
1369594360,2477739124,34932,23026097,122831478,93665,63552,3227156,54095,7322,620181,1337,56686,80761,5533008
1368320769,2526274222,21906,22891577,123407008,90817,61676,3258005,47594,7156,627737,1265,91979,83257,5520502
1377060809,2530301090,36105,22878086,123100878,92072,51818,3209687,32130,7026,616346,1256,91078,86702,5712314
1367765910,2434272244,54855,24514830,124073042,96764,62727,3137268,50632,7009,558063,1571,96236,78040,5222883
1361785934,2518522855,28609,22621555,121624816,93276,54780,3272851,32690,6879,601563,1538,98286,86355,5430302
1367861664,2461989889,41956,22977312,123569007,91107,55653,3171675,41335,6852,615576,1308,89020,85122,5587009
1365256051,2511102388,17481,23338356,121048917,94604,68124,3441637,56345,6966,608593,1508,91230,80636,5100046
1366263443,2494542279,31030,23182392,122134127,93277,54908,3343090,34275,7119,616647,1493,85242,84509,5309436
1366253751,2430623947,40642,23203839,123312968,92511,59828,3214475,45467,7018,603226,1451,94389,82786,5495663
1363281517,2522638218,18060,22973143,121754643,93514,65409,3380335,53243,7151,617769,1475,87056,82582,5254599
1368103765,2516864146,33757,22758763,123405770,97976,55834,3199984,34928,7511,609098,1409,91008,85609,5617207
1366229377,2403525389,42611,23096099,120950941,50446,63465,3257827,43111,7068,618752,1342,93441,82973,5611855
1369028840,2529930601,20959,23068569,122937619,36449,62412,3342407,52443,7031,617582,1343,86408,81210,5367092
1369063352,2526164135,28499,22789442,123273005,36054,56009,3277485,38702,7318,615671,1447,92636,85280,5598469
1373933104,2496903968,40844,23018304,124439722,36032,54767,3238545,35063,7232,624253,1247,87434,85117,5768990
1374935925,2571602923,16809,23462241,122153003,35550,76076,3022401,69721,7425,601305,1408,94599,80864,5543788
1373249414,2541029117,31352,22716543,124057313,36818,51705,3219086,32692,7408,617881,2121,98539,85603,5739287
1361257325,2437609248,44585,22924385,122856263,35405,51211,3183822,32080,7108,617453,2364,101647,85647,5472726
1374461635,2526869527,26807,22961013,123634810,34318,57326,3281583,47305,7176,609530,2435,98537,83035,5662878
1370355696,2538304210,23228,22730589,123216837,38210,54207,3276181,36689,7402,598760,2408,90429,85554,5556615
1365630257,2456056670,42067,22765034,122362988,36133,49217,3186577,28895,6947,623061,2273,77891,85749,5744292
1360764878,2391249342,26822,23157977,120609645,39770,63241,3306498,47408,7119,607990,2263,120067,80566,5342271
1364670947,2528576559,22780,22609558,122391033,35887,53390,3308569,37194,7297,618022,2269,134644,83471,5436868
1372798946,2493235084,39708,22726858,123864522,35954,47345,3193615,30844,7498,617390,2404,135828,87228,5743425
1370500361,2483516866,37238,23012657,123183189,38866,55303,3198827,39825,6605,607707,2405,133044,88362,5510867
1368334192,2524275702,20679,22734311,122197087,36551,58507,3295758,44138,4641,613135,2296,131780,98406,5561153
1365478116,2461799344,55974,23248295,123864013,36865,44382,3114810,31063,4620,546572,2250,138231,102032,5637248
1371046163,2482931630,27676,22965247,123566070,35295,56903,3239766,44320,4478,616451,2204,130750,97524,5482037
1355345545,2464384024,19651,22739284,119814835,35867,53819,3353447,36247,4577,624281,2278,133429,101122,5306179
1366622447,2474349990,42708,22725229,123133981,36215,49285,3171368,31071,4700,623166,2244,130925,102838,5623484
1366464247,2484274786,32858,22905934,123306077,34333,58477,3198505,41518,4502,610998,2320,129715,99666,5527827
1372918588,2546012143,23841,22901440,124059343,34577,55978,3285675,41866,4772,624558,2183,130598,100978,5575203
1374393626,2532178196,29098,22936939,124368604,32917,50556,3267675,32721,4529,626285,2305,133193,101288,5639206
1367415443,2468213121,40696,22870182,123312075,35643,49773,3226671,32047,4805,601796,2351,131130,102300,5688673
1365782543,2484977541,30134,22866469,123108479,36579,57333,3257041,46025,4686,619460,2348,134464,99223,5475868
1367262049,2525724211,30591,22637414,122727645,37123,53834,3290734,37730,4819,624876,2195,130405,100386,5443429
1367486227,2464674896,46369,22795126,123065808,38420,47704,3223966,27382,4706,619895,2262,137005,103031,5690371
1363551393,2396014335,65495,27111556,116307442,38147,71895,3301701,48246,4545,618354,2373,129989,95470,4770862
1367317626,2511038756,40092,22736376,122658126,34230,49861,3249954,24979,4734,618263,2282,132145,103115,5647423
1361307484,2417772843,50270,22890411,122917753,40288,50977,3194062,28126,4690,619027,2267,136592,103538,5590823
1367111547,2488135618,32409,22795259,122973260,33916,59747,3243098,40310,4798,615360,2294,129154,99625,5538141
1371950092,2554448217,33329,22634226,123595947,36509,54492,3266394,30830,2636,630278,2221,135653,116593,5644276
1362598999,2462189385,47226,22694031,123167505,37192,49007,3192011,26953,1591,621481,2189,128176,118435,5647212
1369304834,2459253418,42060,22919141,121991370,39970,58161,3232071,36022,1296,624671,2233,128390,113846,5607213
1362772179,2470921186,24510,22816529,119232204,35675,60137,3448041,35877,1655,618166,1577,135814,115214,5465604
1365996875,2464329716,48168,22674544,122047066,37388,47197,3188501,23615,1732,616851,1248,129281,118065,5800575
1367570532,2460208470,44554,22829972,122626202,37650,54310,3200834,33436,1875,624842,1149,125320,116419,5691384
1371830371,2519019460,29543,22939226,123506060,34043,57180,3273339,37374,1733,626184,1119,131745,116010,5548729
1371649057,2549445887,51795,25651480,119474272,51382,63109,2994102,51590,1832,624666,1238,133216,116616,5642342
1371852401,2483313024,44894,23119074,123919973,92481,54536,3216606,32581,1781,620602,1253,88552,118972,5659456
1367433635,2519880575,24731,22778360,121992809,92251,60861,3305034,40174,1742,623140,1361,83207,114824,5516880
1368217646,2504704031,45003,22566107,121769990,88993,50411,3238211,25697,1610,623856,1362,83400,119458,5689977
1368601098,2466308580,57113,22843439,123827109,89416,50581,3184388,27385,1729,615056,1404,81325,118436,5828204
1370024519,2479935158,43067,22836922,120592220,90740,59434,3318291,41575,1841,620395,1413,75422,112641,5549068
1371699920,2543023445,40666,22626538,123702461,92101,56787,3253865,29943,1873,612209,1392,77556,99588,5686762
1364538159,2440182647,59535,22676529,121656845,91458,55667,3166387,24426,1859,618473,1367,86374,103210,5777411
1363963504,2458993249,46135,23016906,122250140,90462,63665,3286811,39798,1794,629807,1010,88772,98197,5582892
1368378268,2548053777,31162,22780377,122482169,87930,59094,3332330,31808,1688,611998,331,80578,97262,5494546
1371767528,2474507893,55367,22747949,122317959,90622,53334,3201729,25588,1875,623770,394,81676,101241,5896906
1366685619,2443878985,57643,22946953,122338832,91369,61204,3228404,34373,1664,619996,343,80885,99587,5751596
1369929891,2563112820,35224,22396786,120710030,88413,58984,3249313,41092,1761,547911,355,79992,102036,5735864
1363441648,2430437263,59657,22859358,122169429,90958,58672,3180077,28804,1754,616666,416,77275,99391,5662513
1359201561,2470099992,31389,23054367,119852808,89910,65662,3352499,42284,1646,608098,470,81959,96738,5345352
1364398282,2481788058,49067,22863396,120138508,94969,55000,3397034,26924,1887,616513,515,82350,100507,5583293
1372725239,2480556186,56547,23049514,124272126,88597,58868,3267384,37518,1609,617823,346,84060,100798,5817299
1372262253,2495961834,40292,22956841,123644808,89720,63617,3241320,45148,1716,622434,241,86794,99631,5604998
1372968796,2528504474,35591,22786637,122402945,93591,60236,3274386,34947,1583,631993,340,84443,99772,5687584
1368273013,2481803136,57084,22643624,122735698,92170,52724,3168392,32235,1616,624993,274,79806,99526,5612921
1371227378,2466764701,55563,22917762,123773004,90899,63160,3196786,41654,1832,604780,470,80966,98557,5818253
1370492512,2544597259,24830,22698444,121405810,93417,64417,3396934,44168,1779,606688,268,74143,95479,5446230
1372879333,2515386405,53266,22691558,123760214,91802,52522,3220351,33782,1622,619141,401,81931,100093,5714808
1373830905,2449361120,77979,26962981,119592796,95851,81343,3115410,59736,1462,607535,340,87521,96730,5213562
1369140611,2507229975,35038,22747675,121568478,90213,57696,3231984,35257,1650,631834,298,81713,98856,5532204
1367735985,2487658558,54755,22666859,122611088,95538,54353,3184009,32213,1585,623342,379,81801,100666,5635886
1368507828,2450009581,54931,22934326,122681951,92079,63413,3201540,42678,1649,617986,316,78383,99791,5742650
1369976454,2498514391,33008,22920302,121686784,95087,61817,3272139,41311,1718,624370,271,81659,96975,5410077
1370256841,2531866088,52552,22511770,122038630,129223,53222,3316645,27513,1694,615592,361,52185,100812,5747692
1369160282,2441751690,65932,23019757,123175828,142031,59857,3205299,39251,1459,616579,358,37685,101014,5588426
1369384326,2504629591,36410,22802241,122062391,145009,66985,3291256,46305,1790,622026,340,34031,97620,5583156
1367635924,2535934253,40402,22696573,122141883,144222,56550,3248432,31008,1675,622700,337,32989,101353,5594378
1369577977,2461760790,58327,22808246,123198326,143628,53612,3152649,32309,1655,625197,349,32847,99740,5734619
1368360264,2476324629,50701,22853808,123108583,151121,66235,3252236,45667,1679,628954,370,32576,98877,5708931
1372276525,2597287244,27045,22964755,120214970,144900,68058,3016805,51588,1844,581539,379,32446,98933,5559230
1368822222,2458416665,57559,22933087,122982590,144324,60099,3213909,40738,1700,606856,431,34005,101135,5742567
1372358714,2503562814,34713,22868748,121912625,141334,67797,3260975,45586,1622,623652,392,31194,97005,5524847
