cpu-cycles,instructions,branch-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss ,CPI
0.925694,0.953027,0.003631,0.951898,0.000342,0.002622,0.422351,0.047687,0.030118,0.027726,0.543290052
0.922058,0.926273,0.004343,0.9478,0.000659,0.000939,0.421576,0.040775,0.026692,0.02575,0.553596688
0.924573,0.927275,0.004611,0.9515,0.002133,0.002107,0.423567,0.025739,0.028615,0.02824,0.55420633
0.919125,0.923455,0.004045,0.947482,0.002171,0.001145,0.421748,0.026306,0.026428,0.026548,0.553629847
0.918143,0.923867,0.011088,0.931505,0.002596,0.001282,0.414739,0.027338,0.030105,0.024778,0.553028241
0.918837,0.934844,0.003638,0.938809,0.002485,0.002267,0.420776,0.024707,0.028156,0.028162,0.548407467
0.917454,0.941973,0.004308,0.947087,0.002304,0.000882,0.422898,0.026048,0.029828,0.030181,0.544686289
0.921191,0.927066,0.00419,0.948675,0.002362,0.001912,0.42611,0.024707,0.027575,0.026267,0.552873853
0.918044,0.910172,0.003997,0.932806,0.003412,0.001191,0.423945,0.016119,0.028632,0.027204,0.559237934
0.92168,0.924975,0.00509,0.945311,0.004674,0.001328,0.422811,0.004771,0.02687,0.025968,0.554022961
0.915692,0.91212,0.005034,0.941608,0.004594,0.001294,0.422738,0.004926,0.030369,0.03097,0.557336201
0.918581,0.922368,0.003742,0.941277,0.004664,0.001443,0.424284,0.005261,0.029004,0.028814,0.553891123
0.926213,0.947387,0.004411,0.946662,0.004531,0.001614,0.420952,0.004823,0.029939,0.02993,0.545959533
0.918662,0.927926,0.00415,0.943545,0.004572,0.008839,0.424077,0.004642,0.022787,0.027208,0.551420535
0.922121,0.932353,0.003566,0.950785,0.004718,0.016086,0.424975,0.004462,0.016161,0.028015,0.550894576
0.924291,0.929239,0.010183,0.923783,0.004515,0.017701,0.419185,0.005777,0.014581,0.024586,0.5532029
0.920363,0.924874,0.004076,0.947594,0.004704,0.01706,0.425419,0.00521,0.015534,0.029645,0.553511976
0.918254,0.925896,0.004165,0.944047,0.004601,0.027833,0.419232,0.005519,0.00545,0.028403,0.552160505
0.92153,0.936965,0.00494,0.948717,0.004613,0.030215,0.423774,0.005158,0.001671,0.029712,0.548595427
0.922539,0.925711,0.004033,0.944819,0.004615,0.030112,0.422587,0.005751,0.002935,0.028965,0.554053611
0.921756,0.937754,0.003568,0.94747,0.004696,0.030306,0.423116,0.004745,0.001654,0.028376,0.548340176
0.91616,0.92481,0.003964,0.946701,0.004413,0.030226,0.422493,0.005132,0.001445,0.027575,0.551764333
